Feature,Coefficient,Abs_Coefficient,Odds_Ratio
tear_characteristics_Tear_MedLat,1.1931570049198261,1.1931570049198261,3.2974749368216014
tear_characteristics_Full_3.0,0.7155141246762302,0.7155141246762302,2.0452379192850194
Tear_Area_cm2,-0.7024562866259855,0.7024562866259855,0.49536704476024296
Tear_AP_ML_Ratio,0.4782613744426329,0.4782613744426329,1.613267095069755
InsuranceType_5.0,0.4497170791553482,0.4497170791553482,1.5678685400432038
Aged,0.3983766921573502,0.3983766921573502,1.4894049714213629
tear_characteristics_Full_Missing,0.36971501341623114,0.36971501341623114,1.4473220885062898
Gender_M,0.3135508857503984,0.3135508857503984,1.3682750866948938
Pre-Op_ROM_Pre-Op_IR,0.3017782940845882,0.3017782940845882,1.3522613891236754
tear_characteristics_Tear_AntPost,0.2574801848514039,0.2574801848514039,1.2936661765388198
ROM_Deficit_Score,0.25433252770646536,0.25433252770646536,1.2896005608938952
Gender_m,-0.23793907745353152,0.23793907745353152,0.7882507118716043
InsuranceType_4.0,0.23443537267917947,0.23443537267917947,1.2641947682747714
InsuranceType_1.0,0.22938837663686965,0.22938837663686965,1.257830456121103
PREOP_Strength_Add,-0.20345628016723868,0.20345628016723868,0.8159058748113098
InsuranceType_Missing,0.20118939729235277,0.20118939729235277,1.2228563555746494
PREOP_Strength_ER,-0.1961174425475353,0.1961174425475353,0.8219157011359243
Gender_f,-0.18403884044522173,0.18403884044522173,0.831903491697168
PREOP_Strength_SS,0.17759770474469513,0.17759770474469513,1.1943447453503304
tear_characteristics_Full_2.0,0.12913764371637643,0.12913764371637643,1.1378467308402216
InsuranceType_3.0,0.1252318515655688,0.1252318515655688,1.1334112057683272
InsuranceType_6.0,0.12262491410012782,0.12262491410012782,1.130460321688605
PREOP_FOP_Activity_Pain,0.11181033760923477,0.11181033760923477,1.1183007409379948
Pre-Op_ROM_Pre-Op_ER,0.10095157050359922,0.10095157050359922,1.1062230666401016
Gender_F ,-0.09343706310946259,0.09343706310946259,0.9107953382488885
PREOP_DIFFICULTY_Overhead,-0.09015989064939631,0.09015989064939631,0.9137850679022235
PREOP_Strength_LO,0.08534101172100439,0.08534101172100439,1.0890883952891028
Log_Tear_Area,-0.079988157801956,0.079988157801956,0.9231272781779555
Pre-Op_ROM_Pre-Op_FF,0.07468585581631673,0.07468585581631673,1.0775455930287217
Pain_Frequency_Mean,-0.06229902664734469,0.06229902664734469,0.9396018787790908
PREOP_LOP_Overhead,-0.060259688348464936,0.060259688348464936,0.9415200000605071
Pre-Op_ROM_Pre-Op_Abd,0.04904943295339192,0.04904943295339192,1.0502722675168668
PREOP_FOP_Sleep_Pain,-0.04896590087807422,0.04896590087807422,0.9522135987925225
InsuranceType_2.0,0.03304489450280741,0.03304489450280741,1.0335969410204757
PREOP_FOP_Extreme_Pain,0.026574345329628355,0.026574345329628355,1.0269305919170741
PREOP_DIFFICULTY_Behind_Back,0.018023608877237633,0.018023608877237633,1.0181870143582648
ER_IR_Ratio,-0.017638955410253693,0.017638955410253693,0.9825157003069127
tear_characteristics_Tear_Thickness,-0.01048115882788107,0.01048115882788107,0.9895735771183469
PREOP_LOP_Sleep,-0.008418353525838893,0.008418353525838893,0.9916169815881895
PREOP_Strength_IR,-0.0004250455964511792,0.0004250455964511792,0.9995750447226314
