Feature,Importance_Score
tear_characteristics_Tear_AntPost,0.570389214171104
Aged,0.5232954877021031
tear_characteristics_Full,0.4252641805563601
InsuranceType,0.3955587337232025
Tear_Area_cm2,0.32206237101646557
ROM_Deficit_Score,0.21274032403424145
Pre-Op_ROM_Pre-Op_IR,0.1954511593821629
PREOP_Strength_Add,0.19070246921859482
ER_IR_Ratio,0.18883493662891543
tear_characteristics_Tear_Thickness,0.1844140239660574
PREOP_Strength_ER,0.1843641362459207
PREOP_Strength_LO,0.1617760487099664
PREOP_Strength_SS,0.15281500630155442
PREOP_Strength_IR,0.14896449391278963
tear_characteristics_Tear_MedLat,0.14629314603408117
Tear_AP_ML_Ratio,0.12545821473957314
Gender,0.11700621829368175
Pain_Frequency_Mean,0.09853333472464496
Pre-Op_ROM_Pre-Op_Abd,0.09344540443135506
PREOP_LOP_Overhead,0.09105871359098357
Pre-Op_ROM_Pre-Op_ER,0.08344383978698013
Pre-Op_ROM_Pre-Op_FF,0.07923690037319893
PREOP_DIFFICULTY_Overhead,0.07841172534915808
PREOP_DIFFICULTY_Behind_Back,0.06935767557382302
PREOP_FOP_Extreme_Pain,0.0686204384628263
PREOP_LOP_Sleep,0.0661754294579209
Log_Tear_Area,0.05101613091066635
PREOP_FOP_Sleep_Pain,0.050296455153340205
PREOP_FOP_Activity_Pain,0.04958795105387522
