Feature,Coefficient,Abs_Coefficient,Odds_Ratio
tear_characteristics_Tear_MedLat,1.1931570049190356,1.1931570049190356,3.2974749368189946
tear_characteristics_Full_3.0,0.7155141246759055,0.7155141246759055,2.0452379192843555
Tear_Area_cm2,-0.702456286624554,0.702456286624554,0.49536704476095206
Tear_AP_ML_Ratio,0.4782613744428544,0.4782613744428544,1.6132670950701122
InsuranceType_5.0,0.44971707915511505,0.44971707915511505,1.5678685400428383
Aged,0.39837669215680416,0.39837669215680416,1.4894049714205497
tear_characteristics_Full_Missing,0.36971501341652735,0.36971501341652735,1.4473220885067184
Gender_M,0.31355088575039963,0.31355088575039963,1.3682750866948956
Pre-Op_ROM_Pre-Op_IR,0.30177829408456963,0.30177829408456963,1.3522613891236503
tear_characteristics_Tear_AntPost,0.2574801848493944,0.2574801848493944,1.29366617653622
ROM_Deficit_Score,0.25433252770677184,0.25433252770677184,1.2896005608942904
Gender_m,-0.237939077453584,0.237939077453584,0.7882507118715629
InsuranceType_4.0,0.23443537267917738,0.23443537267917738,1.2641947682747687
InsuranceType_1.0,0.2293883766369589,0.2293883766369589,1.257830456121215
PREOP_Strength_Add,-0.20345628016619552,0.20345628016619552,0.8159058748121609
InsuranceType_Missing,0.20118939729215243,0.20118939729215243,1.2228563555744043
PREOP_Strength_ER,-0.196117442547508,0.196117442547508,0.8219157011359467
Gender_f,-0.1840388404452461,0.1840388404452461,0.8319034916971477
PREOP_Strength_SS,0.17759770474495346,0.17759770474495346,1.1943447453506388
tear_characteristics_Full_2.0,0.12913764371690245,0.12913764371690245,1.1378467308408202
InsuranceType_3.0,0.1252318515651022,0.1252318515651022,1.1334112057677985
InsuranceType_6.0,0.12262491410004525,0.12262491410004525,1.1304603216885116
PREOP_FOP_Activity_Pain,0.11181033760933999,0.11181033760933999,1.1183007409381125
Pre-Op_ROM_Pre-Op_ER,0.10095157050405705,0.10095157050405705,1.106223066640608
Gender_F ,-0.09343706310945932,0.09343706310945932,0.9107953382488915
PREOP_DIFFICULTY_Overhead,-0.09015989064965868,0.09015989064965868,0.9137850679019837
PREOP_Strength_LO,0.08534101172141764,0.08534101172141764,1.089088395289553
Log_Tear_Area,-0.0799881578001606,0.0799881578001606,0.9231272781796128
Pre-Op_ROM_Pre-Op_FF,0.07468585581770887,0.07468585581770887,1.0775455930302218
Pain_Frequency_Mean,-0.06229902664676551,0.06229902664676551,0.9396018787796351
PREOP_LOP_Overhead,-0.0602596883483485,0.0602596883483485,0.9415200000606166
Pre-Op_ROM_Pre-Op_Abd,0.04904943295310061,0.04904943295310061,1.0502722675165608
PREOP_FOP_Sleep_Pain,-0.048965900877733316,0.048965900877733316,0.9522135987928472
InsuranceType_2.0,0.033044894502803714,0.033044894502803714,1.0335969410204717
PREOP_FOP_Extreme_Pain,0.026574345329755018,0.026574345329755018,1.0269305919172043
PREOP_DIFFICULTY_Behind_Back,0.018023608877493748,0.018023608877493748,1.0181870143585257
ER_IR_Ratio,-0.0176389554103541,0.0176389554103541,0.982515700306814
tear_characteristics_Tear_Thickness,-0.010481158827918578,0.010481158827918578,0.9895735771183098
PREOP_LOP_Sleep,-0.008418353525588061,0.008418353525588061,0.9916169815884381
PREOP_Strength_IR,-0.00042504559672332573,0.00042504559672332573,0.9995750447223593
tear_characteristics_Full_1.0,0.0,0.0,1.0
tear_characteristics_Full_nan,0.0,0.0,1.0
InsuranceType_nan,0.0,0.0,1.0
