Feature,Importance_Score
tear_characteristics_Full,0.2784119587090565
tear_characteristics_Tear_AntPost,0.2681684754807425
Aged,0.2680574048390621
InsuranceType,0.23943073978170032
Tear_Area_cm2,0.18747346929538516
Pre-Op_ROM_Pre-Op_IR,0.1579553415307261
PREOP_Strength_ER,0.11765284930365714
ROM_Deficit_Score,0.1113695447118634
tear_characteristics_Tear_Thickness,0.10987864286887503
ER_IR_Ratio,0.10742906179198414
PREOP_Strength_Add,0.1043357799368896
Gender,0.08978593604454964
PREOP_Strength_LO,0.08547151030425809
PREOP_Strength_SS,0.07527391558167854
tear_characteristics_Tear_MedLat,0.0747395247849847
Log_Tear_Area,0.07027353469977377
Pre-Op_ROM_Pre-Op_ER,0.06207478595771621
Tear_AP_ML_Ratio,0.05996246113856597
PREOP_Strength_IR,0.0590799577847836
Pre-Op_ROM_Pre-Op_Abd,0.052448450020459794
Pain_Frequency_Mean,0.04763101698328142
PREOP_LOP_Overhead,0.04330428098487002
PREOP_DIFFICULTY_Overhead,0.04195440680502869
PREOP_FOP_Extreme_Pain,0.03408163832864953
PREOP_LOP_Sleep,0.03000971216821516
PREOP_DIFFICULTY_Behind_Back,0.02806382705139894
Pre-Op_ROM_Pre-Op_FF,0.026812283233185092
PREOP_FOP_Activity_Pain,0.02203155372289953
PREOP_FOP_Sleep_Pain,0.019175258825484712
