Feature,Importance_Score
Aged,0.3006607774699953
InsuranceType,0.29407334171950916
tear_characteristics_Full,0.293263219547161
tear_characteristics_Tear_AntPost,0.26887488432923273
Tear_Area_cm2,0.23075593912292774
Pre-Op_ROM_Pre-Op_IR,0.1987889427110591
ROM_Deficit_Score,0.1666253050266108
PREOP_Strength_Add,0.15321744696670214
ER_IR_Ratio,0.15307660693852174
PREOP_Strength_ER,0.1337776755839113
PREOP_Strength_LO,0.12168097197136832
Gender,0.11251976393531211
tear_characteristics_Tear_Thickness,0.10515920002351378
PREOP_Strength_SS,0.09353701360974695
tear_characteristics_Tear_MedLat,0.09122956086149188
Tear_AP_ML_Ratio,0.09008591443164933
PREOP_Strength_IR,0.08930556883537204
PREOP_DIFFICULTY_Overhead,0.08001456335879294
Pain_Frequency_Mean,0.07837513025956569
Pre-Op_ROM_Pre-Op_ER,0.07782012123279536
Log_Tear_Area,0.07392920996921802
Pre-Op_ROM_Pre-Op_Abd,0.07135162211534933
PREOP_LOP_Overhead,0.06733332084678441
PREOP_LOP_Sleep,0.04916239134215223
Pre-Op_ROM_Pre-Op_FF,0.048086931549072474
PREOP_FOP_Activity_Pain,0.04492386397533815
PREOP_FOP_Extreme_Pain,0.04452798464489363
PREOP_DIFFICULTY_Behind_Back,0.04152306879649752
PREOP_FOP_Sleep_Pain,0.0350377076652102
