Feature,Importance_Score
tear_characteristics_Full,0.24917253742994974
tear_characteristics_Tear_AntPost,0.20604653802934247
Aged,0.1903056156206067
InsuranceType,0.17284772279559013
Tear_Area_cm2,0.15661912982266304
Pre-Op_ROM_Pre-Op_IR,0.11687404581507178
PREOP_Strength_ER,0.08670300615235492
tear_characteristics_Tear_Thickness,0.08373841420771462
ER_IR_Ratio,0.08271366389738667
ROM_Deficit_Score,0.07713885769017179
PREOP_Strength_Add,0.07312492494370808
Log_Tear_Area,0.06867004253814919
tear_characteristics_Tear_MedLat,0.06171938272037698
PREOP_Strength_SS,0.060354137597510474
PREOP_Strength_LO,0.060123176066915196
Gender,0.059527106721372375
Tear_AP_ML_Ratio,0.0554422856752294
PREOP_Strength_IR,0.047926165743450065
Pre-Op_ROM_Pre-Op_ER,0.045145146075343597
Pre-Op_ROM_Pre-Op_Abd,0.04430517250199567
PREOP_LOP_Overhead,0.04129861559912471
Pain_Frequency_Mean,0.03969410633528248
PREOP_DIFFICULTY_Overhead,0.03823742422766969
PREOP_FOP_Extreme_Pain,0.028430657020126475
PREOP_DIFFICULTY_Behind_Back,0.027391225329014755
PREOP_LOP_Sleep,0.02639296798696005
Pre-Op_ROM_Pre-Op_FF,0.026339083845453262
PREOP_FOP_Sleep_Pain,0.016905170511310148
PREOP_FOP_Activity_Pain,0.014846205331314853
