Feature,Importance_Score
Aged,0.2203232487683394
InsuranceType,0.20645493408507584
tear_characteristics_Tear_AntPost,0.19987226566917773
tear_characteristics_Full,0.19630408753507592
Pre-Op_ROM_Pre-Op_IR,0.1468294498537196
Tear_Area_cm2,0.14650692993959114
ER_IR_Ratio,0.11206061730986726
PREOP_Strength_ER,0.1049186085537113
ROM_Deficit_Score,0.09878962017900735
PREOP_Strength_Add,0.09546783388702257
PREOP_Strength_LO,0.07975625614466965
PREOP_Strength_SS,0.07236888525345847
tear_characteristics_Tear_Thickness,0.07231941215324161
Gender,0.06834646002065982
tear_characteristics_Tear_MedLat,0.062048686507317444
Pre-Op_ROM_Pre-Op_ER,0.06144272920512758
Tear_AP_ML_Ratio,0.05880313077801392
PREOP_Strength_IR,0.057814064900648304
PREOP_DIFFICULTY_Overhead,0.05225385624857713
Pre-Op_ROM_Pre-Op_Abd,0.05021957843620356
PREOP_FOP_Extreme_Pain,0.04610425124122658
PREOP_LOP_Overhead,0.04588181023546905
Pain_Frequency_Mean,0.04433169431955499
Log_Tear_Area,0.044067749354935
Pre-Op_ROM_Pre-Op_FF,0.03638447422770173
PREOP_DIFFICULTY_Behind_Back,0.03453618836685693
PREOP_FOP_Sleep_Pain,0.030725233343985817
PREOP_LOP_Sleep,0.02720709293873487
PREOP_FOP_Activity_Pain,0.023597090054703184
