Feature,Importance_Score
tear_characteristics_Full,0.20289798462410777
Tear_Area_cm2,0.17767796465637017
Aged,0.17426749216877632
tear_characteristics_Tear_AntPost,0.17252228811098444
InsuranceType,0.15904959823056028
Pre-Op_ROM_Pre-Op_IR,0.09393330045141128
ER_IR_Ratio,0.08380923500550182
tear_characteristics_Tear_Thickness,0.07788960212678946
PREOP_Strength_ER,0.07621083198940265
Log_Tear_Area,0.07364213540925302
ROM_Deficit_Score,0.05792067894284757
PREOP_Strength_Add,0.051065703011431825
tear_characteristics_Tear_MedLat,0.05046396758066022
PREOP_Strength_LO,0.050444737682612324
PREOP_Strength_SS,0.04634223330385103
Gender,0.04402162522884418
Pre-Op_ROM_Pre-Op_ER,0.04221731231878978
Pain_Frequency_Mean,0.04128143126210307
Tear_AP_ML_Ratio,0.03931069527302571
PREOP_Strength_IR,0.03835459102517651
Pre-Op_ROM_Pre-Op_Abd,0.03514165631936679
PREOP_LOP_Overhead,0.03224522480678997
PREOP_FOP_Extreme_Pain,0.02865022427875139
PREOP_LOP_Sleep,0.025439145918049355
PREOP_DIFFICULTY_Overhead,0.025365215023496392
Pre-Op_ROM_Pre-Op_FF,0.020708880959360444
PREOP_DIFFICULTY_Behind_Back,0.020395277647620013
PREOP_FOP_Sleep_Pain,0.011532542879078138
PREOP_FOP_Activity_Pain,0.009336145234552876
