Feature,Importance_Score
tear_characteristics_Full,0.27128161242343984
Aged,0.25959611382432407
InsuranceType,0.2588534170741191
tear_characteristics_Tear_AntPost,0.241584317974204
Tear_Area_cm2,0.1872384155276325
Pre-Op_ROM_Pre-Op_IR,0.16347923791335753
ER_IR_Ratio,0.13070958580586547
PREOP_Strength_ER,0.1264760436098375
ROM_Deficit_Score,0.11466435350702671
PREOP_Strength_Add,0.10692542546487793
tear_characteristics_Tear_Thickness,0.09047630006662759
PREOP_Strength_LO,0.08680598946667555
Gender,0.08214588000498745
PREOP_Strength_SS,0.08122233944918737
Tear_AP_ML_Ratio,0.07004631984071648
tear_characteristics_Tear_MedLat,0.07000828151038879
Pre-Op_ROM_Pre-Op_ER,0.06870940687635466
PREOP_Strength_IR,0.06346762112219544
Pre-Op_ROM_Pre-Op_Abd,0.06170494367674742
Pain_Frequency_Mean,0.0565606091358439
PREOP_DIFFICULTY_Overhead,0.05480951536958219
Log_Tear_Area,0.04710186286672064
PREOP_LOP_Overhead,0.045008630924431754
PREOP_FOP_Extreme_Pain,0.039365399364771285
PREOP_DIFFICULTY_Behind_Back,0.03546441264147683
PREOP_LOP_Sleep,0.03480556451791167
Pre-Op_ROM_Pre-Op_FF,0.03185288449676326
PREOP_FOP_Activity_Pain,0.02575126151833203
PREOP_FOP_Sleep_Pain,0.025354886825711614
