Feature,Coefficient,Abs_Coefficient
tear_characteristics_Tear_MedLat,1.193157004919021,1.193157004919021
tear_characteristics_Full_3.0,0.7155141246759414,0.7155141246759414
Tear_Area_cm2,-0.7024562866244086,0.7024562866244086
Tear_AP_ML_Ratio,0.47826137444288114,0.47826137444288114
InsuranceType_5.0,0.44971707915506326,0.44971707915506326
Aged,0.3983766921566837,0.3983766921566837
tear_characteristics_Full_nan,0.3697150134166462,0.3697150134166462
Gender_M,0.313550885750397,0.313550885750397
Pre-Op_ROM_Pre-Op_IR,0.3017782940845716,0.3017782940845716
tear_characteristics_Tear_AntPost,0.2574801848491728,0.2574801848491728
ROM_Deficit_Score,0.2543325277068771,0.2543325277068771
Gender_m,-0.2379390774536144,0.2379390774536144
InsuranceType_4.0,0.23443537267917863,0.23443537267917863
InsuranceType_1.0,0.22938837663697947,0.22938837663697947
PREOP_Strength_Add,-0.20345628016598197,0.20345628016598197
InsuranceType_nan,0.20118939729210403,0.20118939729210403
PREOP_Strength_ER,-0.19611744254751032,0.19611744254751032
Gender_f,-0.18403884044525048,0.18403884044525048
PREOP_Strength_SS,0.1775977047450269,0.1775977047450269
tear_characteristics_Full_2.0,0.12913764371711717,0.12913764371711717
InsuranceType_3.0,0.12523185156500188,0.12523185156500188
InsuranceType_6.0,0.1226249141000291,0.1226249141000291
PREOP_FOP_Activity_Pain,0.11181033760936637,0.11181033760936637
Pre-Op_ROM_Pre-Op_ER,0.10095157050417608,0.10095157050417608
Gender_F ,-0.0934370631094661,0.0934370631094661
PREOP_DIFFICULTY_Overhead,-0.0901598906497158,0.0901598906497158
PREOP_Strength_LO,0.08534101172150348,0.08534101172150348
Log_Tear_Area,-0.07998815779998171,0.07998815779998171
Pre-Op_ROM_Pre-Op_FF,0.0746858558180346,0.0746858558180346
Pain_Frequency_Mean,-0.06229902664666133,0.06229902664666133
PREOP_LOP_Overhead,-0.06025968834833092,0.06025968834833092
Pre-Op_ROM_Pre-Op_Abd,0.04904943295305294,0.04904943295305294
PREOP_FOP_Sleep_Pain,-0.048965900877656614,0.048965900877656614
InsuranceType_2.0,0.033044894502803644,0.033044894502803644
PREOP_FOP_Extreme_Pain,0.02657434532979462,0.02657434532979462
PREOP_DIFFICULTY_Behind_Back,0.01802360887755868,0.01802360887755868
ER_IR_Ratio,-0.017638955410370787,0.017638955410370787
tear_characteristics_Tear_Thickness,-0.010481158827929554,0.010481158827929554
PREOP_LOP_Sleep,-0.008418353525528399,0.008418353525528399
PREOP_Strength_IR,-0.00042504559677784235,0.00042504559677784235
