Feature,Importance_Score
Aged,0.6594248747087088
Tear_Area_cm2,0.46931911107960816
InsuranceType,0.46336429287925923
tear_characteristics_Tear_AntPost,0.4489834610162601
tear_characteristics_Full,0.4412642599442243
PREOP_Strength_Add,0.2850706474321028
PREOP_Strength_LO,0.2825187244108273
ROM_Deficit_Score,0.25195638373392687
PREOP_Strength_ER,0.24318871019801747
ER_IR_Ratio,0.23679858388502428
Pre-Op_ROM_Pre-Op_IR,0.21775866794610108
PREOP_Strength_SS,0.21066870457712014
tear_characteristics_Tear_Thickness,0.18649436939568426
PREOP_Strength_IR,0.18593154252182462
tear_characteristics_Tear_MedLat,0.18504378020549145
Pain_Frequency_Mean,0.15589651284156847
Tear_AP_ML_Ratio,0.15091832775005654
Pre-Op_ROM_Pre-Op_Abd,0.14929510528065
Gender,0.1393434917898523
Log_Tear_Area,0.13494767319748058
PREOP_LOP_Overhead,0.11473651900765186
Pre-Op_ROM_Pre-Op_ER,0.11333845830071768
PREOP_DIFFICULTY_Behind_Back,0.11124007239555471
Pre-Op_ROM_Pre-Op_FF,0.10714141814607099
PREOP_LOP_Sleep,0.09874859345163645
PREOP_DIFFICULTY_Overhead,0.08662319968315026
PREOP_FOP_Extreme_Pain,0.06047982196545534
PREOP_FOP_Activity_Pain,0.055705136891748004
PREOP_FOP_Sleep_Pain,0.04586492569471397
